
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      73.60
2                      68.19
4                      62.63
8                      63.60
16                     65.24
32                     69.52
64                     80.96
128                   106.17
256                   173.10
512                   274.04
1024                  316.43
2048                  455.83
4096                  743.27
8192                 1374.03
16384                2776.49
32768                5666.71
65536               10899.45
131072              20954.76
262144              26985.92
524288              51266.25
1048576             96318.36
