Comparison for osu_allreduce between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	13.74		13.81		0%
2	13.48		13.60		0%
3	13.23		13.37		1.00%
4	13.60		13.56		0%
5	13.72		13.66		0%
6	27.05		27.37		1.00%
7	28.08		28.37		1.00%
8	28.68		28.84		0%
9	30.12		30.28		0%
10	34.47		33.78		-2.00%
11	38.09		37.36		-1.00%
12	49.21		43.59		-11.00%
13	62.71		54.78		-12.00%
14	80.72		77.87		-3.00%
15	130.04		127.70		-1.00%
16	225.87		225.88		0%
17	462.16		462.37		0%
18	805.85		809.37		0%
19	1708.63		1722.89		0%
