Comparison for osu_latency between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	1.41		1.41		0%
2	1.39		1.38		0%
3	1.39		1.39		0%
4	1.38		1.37		0%
5	1.39		1.37		-1.00%
6	1.39		1.37		-1.00%
7	1.39		1.38		0%
8	1.45		1.46		0%
9	2.18		2.21		1.00%
10	2.24		2.27		1.00%
11	2.46		2.51		2.00%
12	2.67		2.71		1.00%
13	3.43		3.45		0%
14	4.01		4.04		0%
15	5.38		5.39		0%
16	7.09		7.62		7.00%
17	9.81		9.87		0%
18	15.46		15.43		0%
19	26.68		26.20		-1.00%
20	46.80		46.81		0%
21	87.98		87.85		0%
22	170.62		170.94		0%
23	336.65		336.74		0%
24	670.49		671.02		0%
