# OSU MPI_Get_accumulate latency Test v5.6.3
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       5.93
2                       5.99
4                       5.93
8                       5.93
16                      5.96
32                      6.00
64                      6.11
128                     6.25
256                     7.28
512                     8.42
1024                    9.08
2048                   11.01
4096                   14.90
8192                   27.39
16384                  52.33
32768                 103.90
65536                 207.51
131072                415.63
262144                835.68
524288               1687.70
