
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      15.91
2                      15.38
4                      15.28
8                      16.46
16                     17.88
32                     19.10
64                     20.60
128                    24.35
256                    30.61
512                    44.54
1024                   91.26
2048                  113.83
4096                  168.43
8192                  273.90
16384                 497.41
32768                 982.50
65536                1995.46
131072               4247.35
262144               4933.75
524288               9684.82
1048576             18369.88
