
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      13.74
8                      13.48
16                     13.23
32                     13.60
64                     13.72
128                    27.05
256                    28.08
512                    28.68
1024                   30.12
2048                   34.47
4096                   38.09
8192                   49.21
16384                  62.71
32768                  80.72
65536                 130.04
131072                225.87
262144                462.16
524288                805.85
1048576              1708.63
