
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      25.26
2                      24.68
4                      24.86
8                      25.16
16                     25.67
32                     27.30
64                     29.01
128                    33.36
256                    43.14
512                   275.58
1024                  293.98
2048                  350.07
4096                  511.56
8192                  773.64
16384                1138.33
32768                1777.60
65536                5252.79
131072              11303.14
262144              22182.47
524288              44547.74
1048576             86018.51
