# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       3.81
2                       7.90
4                      15.49
8                      32.03
16                     63.57
32                    127.54
64                    250.10
128                   426.43
256                   813.26
512                  1568.18
1024                 2714.19
2048                 3982.49
4096                 4966.15
8192                 5575.21
16384                5665.72
32768                5772.27
65536                5857.60
131072               5887.49
262144               6335.17
524288               6347.98
1048576              6352.05
2097152              6355.00
4194304              6333.25
