# OSU MPI_Get latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       4.29
2                       4.20
4                       4.18
8                       4.22
16                      4.24
32                      4.28
64                      4.30
128                     4.33
256                     4.57
512                     5.43
1024                    5.43
2048                    6.26
4096                    7.49
8192                    9.08
16384                  11.74
32768                  17.23
65536                  27.11
131072                 47.62
262144                 90.91
524288                185.91
1048576               384.50
2097152               769.84
4194304              1575.75
