# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.41
1                       1.39
2                       1.39
4                       1.38
8                       1.39
16                      1.39
32                      1.39
64                      1.45
128                     2.18
256                     2.24
512                     2.46
1024                    2.67
2048                    3.43
4096                    4.01
8192                    5.38
16384                   7.09
32768                   9.81
65536                  15.46
131072                 26.68
262144                 46.80
524288                 87.98
1048576               170.62
2097152               336.65
4194304               670.49
