# OSU MPI_Put Bi-directional Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Size      Bandwidth (MB/s)
1                      32.81
2                      66.36
4                     131.19
8                     267.22
16                    537.45
32                   1078.74
64                   2146.97
128                  4103.54
256                  8240.31
512                 14721.93
1024                25414.06
2048                38306.89
4096                49740.81
8192                36526.29
16384               29059.37
32768               25076.04
65536               22652.27
131072              14316.24
262144              10708.75
524288               9534.62
1048576              9478.54
2097152              9514.34
4194304              9514.57
