# OSU MPI_Put Latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.77
2                       3.63
4                       3.63
8                       3.64
16                      3.64
32                      3.64
64                      3.64
128                     3.64
256                     3.78
512                     4.66
1024                    4.74
2048                    5.68
4096                    7.21
8192                    8.80
16384                  11.44
32768                  16.67
65536                  27.04
131072                 47.89
262144                 92.10
524288                188.07
1048576               384.34
2097152               771.81
4194304              1574.74
