Comparison for osu_allgather between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	15.91		16.11		1.00%
2	15.38		15.46		0%
3	15.28		15.49		1.00%
4	16.46		16.55		0%
5	17.88		18.05		0%
6	19.10		19.09		0%
7	20.60		20.72		0%
8	24.35		24.45		0%
9	30.61		30.70		0%
10	44.54		43.33		-2.00%
11	91.26		89.00		-2.00%
12	113.83		116.68		2.00%
13	168.43		172.64		2.00%
14	273.90		280.03		2.00%
15	497.41		509.89		2.00%
16	982.50		996.81		1.00%
17	1995.46		2034.50		1.00%
18	4247.35		4283.80		0%
19	4933.75		4538.46		-8.00%
20	9684.82		9091.16		-6.00%
21	18369.88		17989.05		-2.00%
