Comparison for osu_scatter between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	8.94		9.16		2.00%
2	8.88		9.06		2.00%
3	8.73		8.95		2.00%
4	8.96		9.05		1.00%
5	9.42		9.56		1.00%
6	9.65		9.74		0%
7	10.12		10.12		0%
8	10.87		11.17		2.00%
9	11.95		12.27		2.00%
10	15.94		16.22		1.00%
11	19.18		18.99		0%
12	22.92		22.72		0%
13	30.28		29.84		-1.00%
14	47.96		47.53		0%
15	38.13		39.96		4.00%
16	61.15		64.23		5.00%
17	126.75		136.00		7.00%
18	213.11		256.39		20.00%
19	520.08		574.17		10.00%
20	1171.28		1232.82		5.00%
21	2542.92		2585.66		1.00%
