
# OSU MPI Gather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       3.70
2                       3.69
4                       3.69
8                       3.68
16                      3.71
32                      3.88
64                      3.88
128                     4.14
256                     4.24
512                     4.58
1024                    5.06
2048                    5.87
4096                    7.75
8192                   11.35
16384                  19.72
32768                  37.92
65536                  71.61
131072                147.72
262144                245.36
524288                643.73
1048576              2547.84
