
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      16.11
2                      15.46
4                      15.49
8                      16.55
16                     18.05
32                     19.09
64                     20.72
128                    24.45
256                    30.70
512                    43.33
1024                   89.00
2048                  116.68
4096                  172.64
8192                  280.03
16384                 509.89
32768                 996.81
65536                2034.50
131072               4283.80
262144               4538.46
524288               9091.16
1048576             17989.05
