
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      13.81
8                      13.60
16                     13.37
32                     13.56
64                     13.66
128                    27.37
256                    28.37
512                    28.84
1024                   30.28
2048                   33.78
4096                   37.36
8192                   43.59
16384                  54.78
32768                  77.87
65536                 127.70
131072                225.88
262144                462.37
524288                809.37
1048576              1722.89
