
# OSU MPI Broadcast Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.91
2                       9.93
4                       9.71
8                       9.49
16                      9.55
32                      9.59
64                      9.64
128                    10.88
256                    11.01
512                    11.71
1024                   12.60
2048                   12.57
4096                   15.40
8192                   20.02
16384                  30.45
32768                  47.37
65536                  84.06
131072                173.28
262144                338.44
524288                674.77
1048576              1193.45
