# OSU MPI Bi-Directional Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       4.88
2                       9.92
4                      20.62
8                      41.15
16                     82.19
32                    165.53
64                    314.89
128                   570.29
256                  1117.43
512                  2128.45
1024                 3611.50
2048                 5723.84
4096                 7640.21
8192                 8861.99
16384                9172.12
32768                9308.35
65536                9371.74
131072               9371.62
262144               9515.24
524288               9577.30
1048576              9570.12
2097152              9481.55
4194304             10145.45
