# OSU MPI_Get latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.30
2                       2.30
4                       2.28
8                       2.29
16                      2.29
32                      2.29
64                      2.28
128                     2.29
256                     2.30
512                     2.34
1024                    3.28
2048                    3.34
4096                    3.81
8192                    4.68
16384                   6.42
32768                   8.75
65536                  13.96
131072                 24.39
262144                 44.67
524288                 86.58
1048576               170.45
2097152               335.48
4194304               669.05
