
# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      16.08             12.53             11.55             69.28
2                      15.64             12.10             11.18             68.40
4                      15.54             11.96             11.05             67.59
8                      15.54             11.96             11.02             67.54
16                     15.52             11.94             11.01             67.51
32                     15.71             12.10             11.15             67.56
64                     15.77             12.10             11.21             67.27
128                    17.28             13.15             12.23             66.21
256                    17.57             13.44             12.52             67.01
512                    18.42             14.11             13.07             66.99
1024                   19.69             15.19             14.12             68.07
2048                   21.86             17.20             16.04             70.95
4096                   26.08             20.81             19.63             73.13
8192                   33.14             27.17             25.88             76.94
16384                  54.59             40.33             38.50             62.96
32768                  80.63             61.74             59.35             68.19
65536                 163.53            136.73            132.22             79.73
131072                398.04            290.82            281.89             61.96
262144                945.19            651.90            632.51             53.63
524288               1999.43           1318.95           1280.42             46.85
1048576              4271.37           2779.42           2698.92             44.72
