
# OSU MPI Non-blocking Scatter Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      15.86             13.93             12.92             85.02
2                      15.42             13.52             12.53             84.80
4                      15.27             13.37             12.41             84.68
8                      15.23             13.32             12.38             84.58
16                     15.17             13.25             12.33             84.40
32                     15.46             13.53             12.59             84.73
64                     15.67             13.75             12.86             85.07
128                    20.01             17.87             16.73             87.19
256                    20.60             18.44             17.31             87.51
512                    22.17             19.89             18.77             87.85
1024                   25.24             22.75             21.58             88.47
2048                   29.51             26.82             25.49             89.44
4096                   37.44             34.38             32.79             90.64
8192                   52.41             48.51             46.47             91.60
16384                  51.10             43.73             41.87             82.40
32768                  84.42             69.14             66.59             77.06
65536                 177.43            143.90            139.19             75.91
131072                355.08            264.50            256.35             64.67
262144                866.10            590.95            573.44             52.02
524288               2197.53           1269.39           1232.44             24.69
1048576              4682.87           2659.64           2582.79             21.66
