# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.41
1                       1.38
2                       1.39
4                       1.37
8                       1.37
16                      1.37
32                      1.38
64                      1.46
128                     2.21
256                     2.27
512                     2.51
1024                    2.71
2048                    3.45
4096                    4.04
8192                    5.39
16384                   7.62
32768                   9.87
65536                  15.43
131072                 26.20
262144                 46.81
524288                 87.85
1048576               170.94
2097152               336.74
4194304               671.02
