# OSU MPI_Put Latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.22
2                       2.22
4                       2.22
8                       2.22
16                      2.21
32                      2.23
64                      2.22
128                     2.23
256                     2.92
512                     3.16
1024                    3.19
2048                    3.29
4096                    4.27
8192                    5.29
16384                   6.61
32768                   8.71
65536                  13.83
131072                 24.18
262144                 45.70
524288                 86.42
1048576               171.55
2097152               334.66
4194304               667.24
