
# OSU MPI Reduce_scatter Latency Test v5.6.3
# Size       Avg Latency(us)
4                       4.05
8                       3.54
16                      3.81
32                      4.13
64                      6.84
128                    12.40
256                    14.82
512                    15.94
1024                   17.46
2048                   19.62
4096                   22.43
8192                   26.13
16384                  32.98
32768                  45.59
65536                  77.01
131072                128.96
262144                259.80
524288                451.50
1048576               915.63
