
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.16
2                       9.06
4                       8.95
8                       9.05
16                      9.56
32                      9.74
64                     10.12
128                    11.17
256                    12.27
512                    16.22
1024                   18.99
2048                   22.72
4096                   29.84
8192                   47.53
16384                  39.96
32768                  64.23
65536                 136.00
131072                256.39
262144                574.17
524288               1232.82
1048576              2585.66
