Comparison for osu_bibw between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	12.04		10.04		-16.00%
2	24.00		20.46		-14.00%
3	47.92		31.27		-34.00%
4	96.09		77.00		-19.00%
5	192.37		154.31		-19.00%
6	399.79		181.45		-54.00%
7	783.02		312.54		-60.00%
8	410.40		322.58		-21.00%
9	787.83		622.06		-21.00%
10	1319.08		1214.64		-7.00%
11	1803.50		1620.90		-10.00%
12	2614.79		2476.53		-5.00%
13	3290.14		3129.47		-4.00%
14	4030.51		3919.06		-2.00%
15	8039.61		7173.71		-10.00%
16	8608.89		8074.17		-6.00%
17	13812.15		13106.55		-5.00%
18	19281.17		18994.87		-1.00%
19	25119.68		24519.88		-2.00%
20	27748.39		27498.51		0%
21	27336.53		26315.29		-3.00%
22	21309.92		21208.82		0%
23	21204.09		21275.90		0%
