Comparison for osu_gather between Native and Container OSU Collective Benchmark
-------------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	0.91		0.97		6.00%
2	0.89		0.96		7.00%
3	0.90		0.96		6.00%
4	0.90		0.97		7.00%
5	0.92		1.00		8.00%
6	1.21		1.30		7.00%
7	1.20		1.28		6.00%
8	1.55		1.63		5.00%
9	1.71		1.74		1.00%
10	2.21		2.28		3.00%
11	3.07		3.41		11.00%
12	3.88		4.15		6.00%
13	6.39		6.60		3.00%
14	11.33		11.69		3.00%
15	21.43		22.03		2.00%
16	45.05		46.11		2.00%
17	90.55		93.17		2.00%
18	200.13		200.72		0%
19	348.49		334.39		-4.00%
20	996.06		966.45		-2.00%
21	2988.40		3040.37		1.00%
