Comparison for osu_latency between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	0.42		0.87		107.00%
2	0.42		0.85		102.00%
3	0.42		0.85		102.00%
4	0.42		0.85		102.00%
5	0.42		0.85		102.00%
6	0.42		0.85		102.00%
7	0.80		0.91		13.00%
8	0.67		0.97		44.00%
9	1.07		1.35		26.00%
10	1.09		1.39		27.00%
11	1.28		1.57		22.00%
12	1.54		1.75		13.00%
13	2.05		2.27		10.00%
14	2.88		3.10		7.00%
15	4.51		4.75		5.00%
16	7.13		7.52		5.00%
17	12.08		12.73		5.00%
18	21.85		23.14		5.00%
19	42.04		44.48		5.00%
20	20.66		21.29		3.00%
21	38.19		37.06		-2.00%
22	84.26		74.89		-11.00%
23	195.31		195.13		0%
24	391.15		390.31		0%
