Comparison for osu_put_latency between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	0.05		0.27		440.00%
2	0.05		0.28		460.00%
3	0.05		0.27		440.00%
4	0.05		0.28		460.00%
5	0.05		0.27		440.00%
6	0.05		0.27		440.00%
7	0.05		0.27		440.00%
8	0.05		0.28		460.00%
9	0.05		0.27		440.00%
10	0.06		0.28		366.00%
11	0.06		0.29		383.00%
12	0.08		0.30		275.00%
13	0.10		0.34		240.00%
14	0.15		0.42		180.00%
15	0.50		1.07		114.00%
16	1.63		1.95		19.00%
17	3.20		3.56		11.00%
18	6.23		6.76		8.00%
19	12.29		13.22		7.00%
20	25.78		26.40		2.00%
21	62.61		67.23		7.00%
22	160.15		160.70		0%
23	331.55		334.75		0%
