# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.87
1                       0.85
2                       0.85
4                       0.85
8                       0.85
16                      0.85
32                      0.91
64                      0.97
128                     1.35
256                     1.39
512                     1.57
1024                    1.75
2048                    2.27
4096                    3.10
8192                    4.75
16384                   7.52
32768                  12.73
65536                  23.14
131072                 44.48
262144                 21.29
524288                 37.06
1048576                74.89
2097152               195.13
4194304               390.31
