# OSU MPI_Accumulate latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       0.33
2                       0.33
4                       0.33
8                       0.34
16                      0.32
32                      0.33
64                      0.32
128                     0.34
256                     0.34
512                     0.35
1024                    0.37
2048                    0.42
4096                    0.51
8192                    0.72
16384                   1.28
32768                   2.22
65536                   4.29
131072                  8.22
262144                 16.22
524288                 36.34
1048576                83.39
2097152               175.24
4194304               355.92
