
# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       5.26              3.57              2.88             41.37
2                       5.21              3.45              2.74             35.70
4                       5.25              3.47              2.78             36.12
8                       5.12              3.43              2.76             38.78
16                      5.15              3.45              2.75             37.93
32                      5.64              3.64              2.97             32.70
64                      5.47              3.61              2.94             36.67
128                     6.58              4.39              3.68             40.57
256                     6.68              4.40              3.72             38.53
512                     7.48              4.94              4.23             40.05
1024                    8.51              5.66              4.88             41.56
2048                   10.30              6.97              6.17             45.97
4096                   13.89              9.22              8.36             44.17
8192                   19.23             12.87             11.92             46.68
16384                  41.86             25.61             24.28             33.07
32768                  63.73             39.93             38.22             37.72
65536                 114.83             74.88             72.05             44.54
131072                243.62            149.18            144.23             34.52
262144                415.14            280.44            271.72             50.43
524288                737.03            508.85            493.49             53.76
1048576              1457.78            966.24            937.75             47.58
