
# OSU MPI Non-blocking Scatter Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       9.68              8.68              7.80             87.16
2                       9.57              8.59              7.69             87.23
4                       9.53              8.55              7.67             87.22
8                       9.51              8.54              7.66             87.29
16                      9.55              8.58              7.70             87.39
32                      9.99              8.96              8.15             87.39
64                      9.94              8.87              8.00             86.63
128                    14.96             13.60             12.57             89.26
256                    15.32             13.95             12.90             89.37
512                    17.79             16.25             15.18             89.83
1024                   21.02             19.21             18.09             90.03
2048                   25.26             23.26             21.99             90.90
4096                   34.03             31.44             29.94             91.34
8192                   50.09             46.40             44.43             91.68
16384                  73.67             60.13             57.80             76.58
32768                 135.45            102.54             99.08             66.78
65536                 293.58            205.77            199.22             55.92
131072                667.50            428.66            415.69             42.54
262144               1429.37            888.46            862.33             37.27
524288               3174.73           1827.54           1774.21             24.07
1048576              6740.66           3933.11           3819.75             26.50
