# OSU MPI_Put Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      22.62
2                      45.40
4                      91.15
8                     183.18
16                    367.53
32                    740.58
64                   1477.04
128                  2847.62
256                  5365.63
512                  9460.59
1024                15095.73
2048                22299.54
4096                27152.58
8192                20943.61
16384               14205.72
32768               12750.64
65536               12422.44
131072              11516.36
262144               5967.93
524288               3709.74
1048576              3079.51
2097152              3081.39
4194304              3084.48
