
# OSU MPI Scatter Latency Test v5.6.3
# Size       Avg Latency(us)
1                       2.02
2                       1.99
4                       2.03
8                       2.15
16                      2.31
32                      2.61
64                      2.92
128                     3.66
256                     4.48
512                    12.32
1024                   15.68
2048                   19.40
4096                   27.33
8192                   37.67
16384                  55.13
32768                  95.87
65536                 195.82
131072                406.22
262144                835.05
524288               1721.46
1048576              3803.94
