# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.42
1                       0.42
2                       0.42
4                       0.42
8                       0.42
16                      0.42
32                      0.80
64                      0.67
128                     1.07
256                     1.09
512                     1.28
1024                    1.54
2048                    2.05
4096                    2.88
8192                    4.51
16384                   7.13
32768                  12.08
65536                  21.85
131072                 42.04
262144                 20.66
524288                 38.19
1048576                84.26
2097152               195.31
4194304               391.15
