
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       3.47
2                       3.57
4                       3.74
8                       3.88
16                      4.13
32                      5.51
64                      5.32
128                     6.83
256                     8.59
512                    12.38
1024                   78.35
2048                  139.90
4096                  264.96
8192                  497.62
16384                 957.83
32768                1954.58
65536                3990.43
131072               7986.69
262144               8497.94
524288              17002.52
1048576             32088.78
