
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      11.56
2                      11.54
4                      11.93
8                      12.23
16                     12.53
32                     13.61
64                     16.31
128                    20.55
256                    28.35
512                    42.52
1024                   75.30
2048                   87.55
4096                  148.70
8192                  269.54
16384                 237.76
32768                 503.07
65536                1439.24
131072               2972.36
262144               6109.62
524288              12302.84
1048576             24738.23
