# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                      10.46
2                      20.99
4                      41.85
8                      82.74
16                    168.21
32                    324.92
64                    696.35
128                   411.96
256                   758.30
512                  1189.20
1024                 1512.59
2048                 1931.55
4096                 2533.63
8192                 3211.60
16384                5494.93
32768                5868.57
65536                8497.84
131072              11067.80
262144              13655.27
524288              14622.26
1048576             12768.92
2097152             10818.15
4194304             10754.44
