# OSU MPI_Get_accumulate latency Test v5.6.3
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       6.03
2                       6.02
4                       6.02
8                       6.02
16                      6.04
32                      6.09
64                      6.17
128                     6.32
256                     7.35
512                     8.53
1024                    9.25
2048                   11.06
4096                   14.92
8192                   27.28
16384                  52.14
32768                 103.75
65536                 207.14
131072                414.07
262144                833.44
524288               1684.56
1048576              3373.70
2097152              6767.54
4194304             13546.22
