# OSU MPI_Get Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      24.87
2                      49.79
4                      99.91
8                     191.99
16                    399.13
32                    782.58
64                   1594.24
128                  3145.51
256                  5917.77
512                 10050.52
1024                17490.77
2048                26273.36
4096                31083.14
8192                18302.83
16384               14813.42
32768               12848.77
65536               12698.44
131072              12601.47
262144               8201.47
524288               5095.44
1048576              4740.32
2097152              4736.41
4194304              4734.01
