# OSU MPI_Put Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                      25.10
2                      49.41
4                     100.36
8                     198.80
16                    421.76
32                    837.98
64                   1590.41
128                  3212.51
256                  6223.48
512                 10729.36
1024                16950.84
2048                23023.73
4096                28514.12
8192                20421.65
16384               14906.91
32768               12896.77
65536               12666.49
131072              11854.71
262144               6114.55
524288               3707.46
1048576              3079.46
2097152              3082.60
4194304              3087.35
