
# OSU MPI Allgather Latency Test v5.6.3
# Size       Avg Latency(us)
1                      70.20
2                      59.89
4                      61.21
8                      63.00
16                     64.44
32                     69.76
64                     79.65
128                   106.06
256                   172.94
512                   305.41
1024                  330.47
2048                  473.11
4096                  757.00
8192                 1401.92
16384                2828.55
32768                5761.20
65536               11158.22
131072              21639.17
262144              26619.44
524288              50583.17
1048576             96210.02
