
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      47.19
8                      39.46
16                     38.43
32                     37.98
64                     37.59
128                    38.93
256                    41.07
512                    43.47
1024                   48.77
2048                   55.46
4096                   77.92
8192                  120.22
16384                 212.19
32768                 427.65
65536                 883.82
131072               1733.03
262144                977.33
524288               1687.39
1048576              3467.60
