
# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      52.23
8                      40.09
16                     43.63
32                     40.64
64                     37.47
128                    39.82
256                    41.81
512                    44.17
1024                   49.59
2048                   54.86
4096                   80.44
8192                  123.25
16384                 212.13
32768                 423.08
65536                 887.87
131072               1728.53
262144                962.67
524288               1690.31
1048576              3489.43
