
# OSU MPI Gather Latency Test v5.6.3
# Size       Avg Latency(us)
1                       9.70
2                       9.00
4                       8.26
8                       8.67
16                      7.74
32                      7.76
64                      7.29
128                     7.84
256                     8.06
512                     8.57
1024                    9.55
2048                   10.53
4096                   13.07
8192                   18.62
16384                  30.10
32768                  52.68
65536                 105.23
131072                226.21
262144                395.71
524288               1846.91
1048576              3458.45
