
# OSU MPI Non-Blocking Broadcast Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      32.73             26.07             24.69             73.02
2                      32.19             24.86             23.56             68.89
4                      30.33             23.31             22.05             68.14
8                      29.89             22.60             21.33             65.80
16                     29.96             23.20             21.92             69.14
32                     30.21             23.45             22.17             69.49
64                     30.05             23.38             22.11             69.84
128                    31.51             24.56             23.25             70.12
256                    33.96             25.43             24.01             64.46
512                    35.06             27.69             26.28             71.98
1024                   34.88             27.39             26.01             71.23
2048                   38.57             30.93             29.45             74.05
4096                   52.98             43.76             41.87             77.98
8192                   73.54             62.29             59.85             81.19
16384                 114.54             96.39             92.93             80.48
32768                 208.62            179.87            174.01             83.48
65536                 484.08            386.91            375.03             74.09
131072               1176.34            953.16            924.99             75.87
262144               3171.74           2310.83           2243.55             61.63
524288               7728.57           5172.71           5023.12             49.12
1048576             17102.51          10772.90          10461.78             39.50
