
# OSU MPI Non-blocking Reduce Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
4                      17.10             12.49             11.51             59.95
8                      16.42             11.78             10.82             57.09
16                     15.62             10.78              9.87             50.96
32                     15.69             10.93             10.02             52.53
64                     15.61             10.95             10.02             53.45
128                    15.74             11.01             10.24             53.73
256                    84.87             32.37             30.84              0.00
512                    81.81             30.66             29.20              0.00
1024                   84.87             31.86             30.33              0.00
2048                  103.09             36.78             35.07              0.00
4096                   95.62             36.61             34.96              0.00
8192                  106.09             40.27             38.56              0.00
16384                 129.95             49.77             47.68              0.00
32768                 183.54             77.38             74.54              0.00
65536                 260.78            114.76            110.77              0.00
131072                440.59            207.48            200.79              0.00
262144                794.58            389.09            377.21              0.00
524288               1658.71            786.43            763.17              0.00
1048576              4046.59           1880.39           1825.60              0.00
