
# OSU MPI Non-blocking Scatter Latency Test v5.6.3
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      33.79             25.34             24.00             64.76
2                      32.94             23.26             21.98             55.96
4                      32.98             22.45             21.23             50.39
8                      33.19             22.97             21.66             52.81
16                     32.51             22.56             21.27             53.20
32                     33.03             23.11             21.82             54.57
64                     33.88             23.56             22.28             53.68
128                    41.52             32.83             31.24             72.19
256                    42.79             34.20             32.58             73.62
512                    45.73             36.94             35.31             75.12
1024                   57.68             52.41             50.28             89.52
2048                   70.16             66.19             63.62             93.77
4096                  100.78             92.98             89.65             91.30
8192                  173.47            144.85            139.97             79.55
16384                 274.57            168.60            163.11             35.03
32768                 641.24            347.44            336.80             12.77
65536                 436.48            383.04            371.42             85.61
131072               1347.59            992.35            963.21             63.12
262144               3523.72           2288.25           2221.99             44.40
524288               8328.60           4890.61           4749.23             27.61
1048576             18226.83          10217.66           9924.00             19.29
