# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       0.20
1                       0.21
2                       0.21
4                       0.20
8                       0.20
16                      0.20
32                      0.29
64                      0.28
128                     0.38
256                     0.41
512                     0.48
1024                    0.58
2048                    0.81
4096                    1.27
8192                    2.14
16384                   3.35
32768                   5.16
65536                   8.68
131072                 15.39
262144                 19.11
524288                 34.60
1048576                72.19
2097152               190.96
4194304               386.30
