# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.42
1                       1.39
2                       1.39
4                       1.40
8                       1.39
16                      1.39
32                      1.39
64                      1.46
128                     2.18
256                     2.25
512                     2.49
1024                    2.71
2048                    3.44
4096                    4.04
8192                    5.42
16384                   7.66
32768                   9.90
65536                  15.48
131072                 26.26
262144                 46.78
524288                 88.23
1048576               171.21
2097152               337.34
4194304               669.55
