# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.80
1                       1.78
2                       1.78
4                       1.79
8                       1.78
16                      1.79
32                      1.79
64                      1.84
128                     2.57
256                     2.64
512                     2.79
1024                    3.09
2048                    3.81
4096                    4.42
8192                    5.81
16384                   7.50
32768                  10.18
65536                  15.80
131072                 26.56
262144                 47.15
524288                 88.29
1048576               171.17
2097152               337.44
4194304               671.68
