Comparison for osu_latency between Native and Container OSU Latency Test
----------------------------------------------------------------------
Size	Native Latency (us)	Container Latency (us)	Overhead (%)
0	5.6		5.6		0%
1	1.40		1.43		2.00%
2	1.38		1.40		1.00%
3	1.38		1.41		2.00%
4	1.38		1.40		1.00%
5	1.38		1.40		1.00%
6	1.38		1.40		1.00%
7	1.41		1.42		0%
8	1.42		1.48		4.00%
9	2.18		2.19		0%
10	2.26		2.26		0%
11	2.49		2.53		1.00%
12	2.69		2.70		0%
13	3.44		3.44		0%
14	4.02		4.03		0%
15	5.40		5.42		0%
16	7.15		7.65		6.00%
17	9.79		9.94		1.00%
18	15.46		15.57		0%
19	26.62		26.33		-1.00%
20	46.55		46.88		0%
21	87.76		88.26		0%
22	170.33		171.42		0%
23	335.80		336.14		0%
24	671.04		671.31		0%
