
# OSU MPI Reduce_scatter Latency Test v5.6.3
# Size       Avg Latency(us)
4                      11.03
8                       7.61
16                      8.07
32                      8.96
64                     10.36
128                    13.50
256                    28.82
512                    54.95
1024                   50.26
2048                   46.72
4096                   55.20
8192                   60.60
16384                  71.54
32768                  90.81
65536                 141.27
131072                247.42
262144                460.05
524288                990.26
1048576              3188.73
