# OSU MPI Bandwidth Test v5.6.3
# Size      Bandwidth (MB/s)
1                       3.90
2                       8.16
4                      15.86
8                      32.63
16                     65.61
32                    130.91
64                    248.06
128                   422.47
256                   811.42
512                  1550.69
1024                 2742.03
2048                 3933.55
4096                 4965.47
8192                 5574.47
16384                5651.49
32768                5781.95
65536                5854.27
131072               5883.85
262144               6332.60
524288               6344.14
1048576              6344.83
2097152              6340.23
4194304              6346.40
