# OSU MPI_Get Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.60
2                       1.19
4                       2.39
8                       4.79
16                      9.57
32                     19.05
64                     37.87
128                    75.07
256                   142.62
512                   276.99
1024                  523.55
2048                  919.03
4096                 1310.64
8192                 1876.11
16384                2105.19
32768                2633.30
65536                2819.08
131072               2894.99
262144               2952.21
524288               2863.27
1048576              2742.80
2097152              2719.18
4194304              2656.83
