# OSU MPI_Get latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.32
2                       2.30
4                       2.32
8                       2.28
16                      2.29
32                      2.29
64                      2.29
128                     2.29
256                     2.30
512                     2.35
1024                    3.27
2048                    3.32
4096                    3.75
8192                    4.70
16384                   6.36
32768                   8.79
65536                  13.98
131072                 24.39
262144                 44.86
524288                 86.45
1048576               170.24
2097152               335.49
4194304               668.76
