# OSU MPI_Get latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       4.29
2                       4.18
4                       4.18
8                       4.22
16                      4.26
32                      4.35
64                      4.32
128                     4.33
256                     4.57
512                     5.40
1024                    5.43
2048                    6.07
4096                    7.31
8192                    9.01
16384                  11.76
32768                  16.89
65536                  27.94
131072                 47.73
262144                 90.89
524288                185.91
1048576               384.67
2097152               770.17
4194304              1575.09
