# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.41
1                       1.38
2                       1.39
4                       1.38
8                       1.38
16                      1.38
32                      1.39
64                      1.46
128                     2.17
256                     2.25
512                     2.50
1024                    2.71
2048                    3.44
4096                    4.05
8192                    5.39
16384                   7.62
32768                   9.86
65536                  15.43
131072                 26.37
262144                 46.72
524288                 88.07
1048576               170.67
2097152               337.31
4194304               670.66
