# OSU MPI Latency Test v5.6.3
# Size          Latency (us)
0                       1.41
1                       1.39
2                       1.39
4                       1.39
8                       1.39
16                      1.39
32                      1.39
64                      1.46
128                     2.18
256                     2.25
512                     2.46
1024                    2.69
2048                    3.43
4096                    4.02
8192                    5.39
16384                   7.15
32768                   9.86
65536                  15.49
131072                 26.76
262144                 46.68
524288                 88.08
1048576               170.44
2097152               335.23
4194304               670.65
