# OSU MPI_Put Bandwidth Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       1.07
2                       2.16
4                       4.31
8                       8.65
16                     17.27
32                     34.15
64                     67.81
128                   131.15
256                   245.48
512                   478.02
1024                  878.47
2048                 1546.43
4096                 1786.64
8192                 2300.54
16384                2563.27
32768                2794.05
65536                2907.47
131072               2976.75
262144               2943.57
524288               2858.19
1048576              2765.48
2097152              2710.14
4194304              2661.73
