# OSU MPI_Put Latency Test v5.6.3
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.79
2                       3.66
4                       3.66
8                       3.66
16                      3.66
32                      3.65
64                      3.67
128                     3.72
256                     3.80
512                     4.68
1024                    4.76
2048                    5.71
4096                    7.15
8192                    8.73
16384                  11.60
32768                  16.69
65536                  26.97
131072                 47.71
262144                 91.82
524288                187.18
1048576               384.71
2097152               771.00
4194304              1575.74
