
# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      56.42
2                      63.80
4                      58.15
8                      63.88
16                     59.70
32                     63.39
64                     71.80
128                    89.30
256                   135.21
512                   243.81
1024                 1941.17
2048                 2114.67
4096                 2585.18
8192                 3751.37
16384                4765.04
32768                8366.10
65536               26350.43
131072              47469.98
262144              84645.92
524288             170952.49
1048576            336769.81
